comparison_region,subsample,dataset_source,row_quality_final,n,prop
EUROPE,DIEGO,diego,usable_complete,1857,0.9778830963665087
EUROPE,DIEGO,diego,usable_complete_limited_metadata,42,0.022116903633491312
EUROPE,RENOVISOR,rv,usable_complete,759,0.6175752644426363
EUROPE,RENOVISOR,rv,no_determinants,274,0.2229454841334418
EUROPE,RENOVISOR,rv,usable_complete_limited_metadata,136,0.11065907241659886
EUROPE,RENOVISOR,rv,too_many_missing_determinants,54,0.043938161106590726
EUROPE,RENOVISOR,rv,suspicious_determinants,6,0.004882017900732303
EUROPE,WHY_EUROPE,why,usable_complete,970,0.9797979797979798
EUROPE,WHY_EUROPE,why,no_determinants,9,0.00909090909090909
EUROPE,WHY_EUROPE,why,too_many_missing_determinants,8,0.00808080808080808
EUROPE,WHY_EUROPE,why,suspicious_determinants,2,0.00202020202020202
EUROPE,WHY_EUROPE,why,usable_complete_limited_metadata,1,0.00101010101010101
LATAM,WHY_LATAM,why,usable_complete,469,0.7351097178683386
LATAM,WHY_LATAM,why,usable_complete_limited_metadata,140,0.219435736677116
LATAM,WHY_LATAM,why,too_many_missing_determinants,13,0.02037617554858934
LATAM,WHY_LATAM,why,no_determinants,11,0.017241379310344827
LATAM,WHY_LATAM,why,suspicious_determinants,5,0.007836990595611285
