metric,value
total_rows_final_dataset,4756
total_columns_quality_dataset,1148
total_sources,3
total_subsamples,4
n_diego_rows,1899
n_renovisor_rows,1229
n_why_europe_rows,990
n_why_latam_rows,638
n_europe_rows,4118
n_latam_rows,638
n_usable_for_clustering_total,4381
prop_usable_for_clustering_total,0.921152228763667
n_usable_for_main_analysis_total,4381
prop_usable_for_main_analysis_total,0.921152228763667
n_matrix_32det_for_clustering,4381
n_clustering_diego,1899
n_clustering_renovisor,900
n_clustering_why_europe,972
n_clustering_why_latam,610
n_rows_with_invalid_determinants,0
n_rows_with_any_phase_dimension_response,934
n_propensity_eu_applicable,4118
n_propensity_non_europe_not_applicable,638
n_rv_rows_with_binary_vote_outcome,626
n_rv_model_ready_minimal,426
